Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
1,:,1612293614.591,3.34,0,221,0,0,2390141961,2,1,0.9
12,:,1612293614.645,3.41,0,222,0,0,90715284,1,1,0.9
14,:,1612293614.651,3.418,0,222,0,0,90715284,0.125,1,0.95
3,:,1612293614.601,3.498,0,221,0,0,4173556719,0.25,5,0.9
15,:,1612293614.654,3.458,0,222,0,0,2034693659,0.5,1,0.8
23,:,1612293614.692,3.469,0,222,0,0,1395720285,0.125,1,0.8
2,:,1612293614.596,3.62,0,221,0,0,1501843923,0.5,5,0.8
21,:,1612293614.683,3.546,0,222,0,0,1953635580,2,1,0.95
10,:,1612293614.635,3.608,0,222,0,0,4173556719,2,5,0.9
25,:,1612293614.701,3.566,0,222,0,0,2289609983,1,1,0.9
27,:,1612293614.709,3.581,0,222,0,0,1953635580,0.5,1,0.9
18,:,1612293614.669,3.634,0,222,0,0,2390141961,2,5,0.8
29,:,1612293614.719,3.59,0,222,0,0,991818103,0.125,1,0.9
13,:,1612293614.648,3.684,0,222,0,0,3390822559,0.125,5,0.9
30,:,1612293614.724,3.615,0,222,0,0,4017802264,2,5,0.8
32,:,1612293614.753,3.609,0,222,0,0,2034693659,0.5,1,0.95
4,:,1612293614.606,3.886,0,221,0,0,1395720285,0.25,25,0.9
8,:,1612293614.625,3.874,0,221,0,0,4047805392,0.25,1,0.95
9,:,1612293614.63,3.878,0,221,0,0,2034693659,0.25,25,0.95
16,:,1612293614.659,3.861,0,222,0,0,2390141961,2,25,0.8
19,:,1612293614.674,3.856,0,222,0,0,1501843923,1,25,0.95
20,:,1612293614.678,3.86,0,222,0,0,3390822559,0.5,5,0.9
5,:,1612293614.611,4.001,0,221,0,0,1953635580,0.5,25,0.9
7,:,1612293614.621,3.998,0,221,0,0,1111384852,2,25,0.9
17,:,1612293614.664,3.961,0,222,0,0,733348321,1,25,0.95
22,:,1612293614.687,3.944,0,222,0,0,2034693659,0.5,25,0.95
24,:,1612293614.696,3.942,0,222,0,0,2390141961,0.125,25,0.9
26,:,1612293614.705,3.94,0,222,0,0,4173556719,2,25,0.9
6,:,1612293614.616,4.049,0,221,0,0,240309497,0.5,25,0.9
28,:,1612293614.714,3.966,0,222,0,0,1111384852,2,25,0.95
31,:,1612293614.729,3.977,0,222,0,0,4047805392,0.25,25,0.9
11,:,1612293614.64,4.337,0,222,0,0,991818103,0.5,25,0.9
38,:,1612293618.178,3.344,0,222,0,0,90715284,0.25,1,0.8
34,:,1612293618.069,3.463,0,222,0,0,2182315642,0.5,1,0.9
36,:,1612293618.113,3.549,0,222,0,0,1395720285,2,5,0.8
41,:,1612293618.267,3.469,0,222,0,0,1395720285,0.5,1,0.8
44,:,1612293618.31,3.437,0,222,0,0,4173556719,0.25,1,0.8
40,:,1612293618.244,3.515,0,222,0,0,3390822559,0.125,5,0.95
42,:,1612293618.29,3.545,0,222,0,0,4173556719,1,1,0.95
45,:,1612293618.333,3.525,0,222,0,0,991818103,1,1,0.9
33,:,1612293617.943,3.945,0,222,0,0,1501843923,0.125,25,0.9
46,:,1612293618.34,3.647,0,222,0,0,4173556719,1,1,0.9
50,:,1612293618.508,3.493,0,222,0,0,3602412539,2,1,0.9
47,:,1612293618.363,3.663,0,222,0,0,4173556719,1,5,0.8
35,:,1612293618.1,3.943,0,222,0,0,733348321,1,25,0.9
37,:,1612293618.16,3.889,0,222,0,0,2390141961,0.25,25,0.9
48,:,1612293618.434,3.642,0,222,0,0,3543305936,0.5,5,0.8
39,:,1612293618.229,3.888,0,222,0,0,2289609983,0.5,25,0.8
52,:,1612293618.53,3.605,0,222,0,0,3543305936,1,5,0.95
53,:,1612293618.538,3.62,0,222,0,0,3543305936,0.125,5,0.9
54,:,1612293618.547,3.634,0,222,0,0,1953635580,0.5,5,0.9
57,:,1612293618.631,3.562,0,222,0,0,733348321,0.5,1,0.9
55,:,1612293618.619,3.584,0,222,0,0,4017802264,0.5,5,0.9
58,:,1612293618.638,3.572,0,222,0,0,2289609983,1,1,0.8
43,:,1612293618.303,3.917,0,222,0,0,2034693659,2,25,0.95
60,:,1612293618.665,3.594,0,222,0,0,2289609983,1,1,0.95
56,:,1612293618.626,3.648,0,222,0,0,240309497,0.25,5,0.95
49,:,1612293618.498,3.84,0,222,0,0,2289609983,2,25,0.95
51,:,1612293618.521,3.836,0,222,0,0,90715284,2,25,0.95
59,:,1612293618.645,3.809,0,222,0,0,1111384852,0.5,25,0.95
61,:,1612293618.68,3.822,0,222,0,0,384799037,0.125,25,0.8
63,:,1612293618.765,3.916,0,222,0,0,3543305936,0.25,25,0.9
62,:,1612293618.706,4.023,0,222,0,0,3543305936,1,25,0.9
64,:,1612293619.003,4.365,0,222,0,0,2034693659,0.5,5,0.8
65,:,1612293621.532,3.46,0,222,0,0,3390822559,0.5,1,0.9
70,:,1612293621.766,3.546,0,222,0,0,991818103,0.125,5,0.9
71,:,1612293621.857,3.537,0,222,0,0,4047805392,2,5,0.8
73,:,1612293621.905,3.506,0,222,0,0,240309497,0.25,5,0.9
66,:,1612293621.547,3.901,0,222,0,0,90715284,0.125,25,0.9
69,:,1612293621.759,3.756,0,222,0,0,1501843923,1,25,0.8
77,:,1612293622.049,3.483,0,222,0,0,991818103,2,1,0.9
68,:,1612293621.747,3.858,0,222,0,0,2034693659,0.25,25,0.8
82,:,1612293622.18,3.432,0,222,0,0,2034693659,1,1,0.8
84,:,1612293622.202,3.499,0,222,0,0,2182315642,0.125,5,0.9
81,:,1612293622.158,3.572,0,222,0,0,3543305936,0.25,5,0.8
72,:,1612293621.888,3.907,0,222,0,0,3390822559,0.5,25,0.8
88,:,1612293622.273,3.529,0,222,0,0,4173556719,0.125,1,0.95
87,:,1612293622.258,3.563,0,222,0,0,2289609983,1,5,0.8
