Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
3,:,1612291639.933,4.224,0,221,0,0,4173556719,0.5,1,0.95
5,:,1612291639.943,4.227,0,221,0,0,4017802264,0.015625,1,0.9
1,:,1612291639.924,4.26,0,221,0,0,2289609983,0.015625,1,0.9
14,:,1612291639.979,4.324,0,222,0,0,2390141961,0.03125,1,0.8
15,:,1612291639.982,4.33,0,222,0,0,90715284,0.03125,1,0.8
10,:,1612291639.966,4.36,0,222,0,0,2390141961,0.25,1,0.95
17,:,1612291639.991,4.344,0,222,0,0,384799037,0.125,1,0.9
18,:,1612291639.996,4.348,0,222,0,0,3390822559,0.015625,1,0.95
21,:,1612291640.009,4.342,0,222,0,0,2289609983,0.015625,1,0.95
19,:,1612291640,4.377,0,222,0,0,2390141961,0.5,1,0.9
31,:,1612291640.055,4.358,0,222,0,0,1111384852,0.125,1,0.8
9,:,1612291639.961,4.521,0,221,0,0,4173556719,0.03125,5,0.9
13,:,1612291639.977,4.522,0,222,0,0,4173556719,0.125,5,0.9
12,:,1612291639.974,4.539,0,222,0,0,2034693659,0.25,5,0.9
24,:,1612291640.023,4.496,0,222,0,0,733348321,0.015625,5,0.8
32,:,1612291640.086,4.44,0,222,0,0,1395720285,0.0625,1,0.8
4,:,1612291639.938,4.608,0,221,0,0,3543305936,0.125,5,0.8
25,:,1612291640.027,4.526,0,222,0,0,90715284,0.125,5,0.95
26,:,1612291640.032,4.527,0,222,0,0,2182315642,0.015625,5,0.8
28,:,1612291640.04,4.526,0,222,0,0,733348321,0.0625,1,0.95
29,:,1612291640.045,4.528,0,222,0,0,3390822559,0.03125,5,0.9
30,:,1612291640.05,4.531,0,222,0,0,3543305936,0.25,1,0.9
2,:,1612291639.928,4.736,0,221,0,0,991818103,0.03125,25,0.9
8,:,1612291639.957,4.714,0,221,0,0,2390141961,0.5,25,0.9
7,:,1612291639.952,4.729,0,221,0,0,107577988,0.5,25,0.95
11,:,1612291639.971,4.717,0,222,0,0,1111384852,0.0625,5,0.95
6,:,1612291639.948,4.746,0,221,0,0,2034693659,0.0625,25,0.8
16,:,1612291639.985,4.717,0,222,0,0,3602412539,0.0625,25,0.95
20,:,1612291640.005,4.729,0,222,0,0,1501843923,0.015625,25,0.8
27,:,1612291640.036,4.704,0,222,0,0,2034693659,0.125,25,0.9
22,:,1612291640.014,4.735,0,222,0,0,384799037,0.015625,25,0.95
23,:,1612291640.018,4.737,0,222,0,0,3543305936,0.015625,25,0.95
33,:,1612291644.17,4.259,0,222,0,0,3602412539,0.0625,1,0.95
35,:,1612291644.229,4.355,0,222,0,0,1111384852,0.125,1,0.95
34,:,1612291644.185,4.437,0,222,0,0,4017802264,0.25,5,0.8
37,:,1612291644.326,4.306,0,222,0,0,240309497,0.03125,1,0.8
39,:,1612291644.345,4.302,0,222,0,0,991818103,0.015625,1,0.8
40,:,1612291644.352,4.303,0,222,0,0,4017802264,0.03125,1,0.9
42,:,1612291644.414,4.266,0,222,0,0,2182315642,0.25,1,0.95
38,:,1612291644.334,4.5,0,222,0,0,4047805392,0.125,5,0.9
