timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,105.39836120605469,32.454200744628906,10.300827980041504,34.04969787597656
2,46.30210494995117,16.363618850708008,15.542046546936035,22.56818962097168
4,73.11660766601562,24.024595260620117,15.0698881149292,28.35987663269043
6,54.124629974365234,16.724443435668945,17.766935348510742,24.400222778320312
8,58.28578567504883,19.91843032836914,15.633292198181152,25.32081413269043
10,78.90089416503906,25.247966766357422,15.18058967590332,29.460309982299805
12,81.0005111694336,5.629171848297119,29.31412696838379,29.84971809387207
14,184.19654846191406,29.52692413330078,33.97532653808594,45.012908935546875
16,251.00732421875,17.490211486816406,49.549705505371094,52.54598617553711
18,1197.065673828125,100.99319458007812,54.480262756347656,114.75069427490234
20,2435.346923828125,63.3554801940918,150.91355895996094,163.67288208007812
22,1652.056640625,26.657594680786133,132.14385986328125,134.80587768554688
24,12160.8310546875,242.30592346191406,273.96527099609375,365.74462890625
26,11280.8857421875,78.75965118408203,343.34625244140625,352.26373291015625
28,47355.98046875,644.6871948242188,324.4907531738281,721.7449340820312
30,40572.20703125,605.944580078125,281.29266357421875,668.0525512695312
32,381234.09375,457.7959899902344,1995.9954833984375,2047.822021484375
34,3718395.5,1589.4573974609375,6194.83447265625,6395.494140625
36,3633814.25,2174.06494140625,5936.78369140625,6322.337890625
38,12482127.0,5310.62109375,10445.12890625,11717.6533203125
40,78389480.0,914.7289428710938,29350.4296875,29364.677734375
42,2331618560.0,29106.669921875,157482.078125,160149.3125
44,48834326528.0,202792.59375,704310.125,732924.0
46,526769291264.0,585398.0625,2334903.0,2407168.75
48,13694525243392.0,4914702.5,11246577.0,12273539.0
50,13780176076800.0,4740168.5,11362778.0,12311861.0
52,20705726955520.0,7699775.5,12979849.0,15091819.0
54,5046387930562560.0,124896576.0,199777680.0,235606160.0
56,4876382387568640.0,96683856.0,210457696.0,231603552.0
58,4894886717292544.0,100394824.0,209199984.0,232042576.0
60,4878379547361280.0,96278152.0,210695728.0,231650976.0
62,1.5108382405322342e+18,2121926528.0,3480897792.0,4076667904.0
64,1.877166955092666e+19,7917405184.0,11991790592.0,14369702912.0
66,2.1500967473345724e+19,36800556.0,15378857984.0,15378902016.0
68,2.668896119205795e+20,4602333184.0,53987069952.0,54182891520.0
70,4.012202020403916e+20,23415523328.0,62170210304.0,66433593344.0
72,8.738761073051667e+21,255469862912.0,175674572800.0,310042525696.0
74,4.827626865160362e+22,623360278528.0,377439911936.0,728724144128.0
76,5.6993485629937854e+22,349077504000.0,710685032448.0,791788060672.0
78,3.970361325814031e+24,5732952440832.0,3287434919936.0,6608628744192.0
80,3.543202178974937e+25,17812940652544.0,8511841370112.0,19742142234624.0
82,5.934959884141009e+26,72149310111744.0,36372152844288.0,80798862540800.0
84,4.486850260452729e+27,198643898384384.0,99478463840256.0,222160639492096.0
86,2.3560332174432643e+29,1436388327161856.0,726928516448256.0,1609856016449536.0
88,1.0924585861737293e+30,3099983377072128.0,1551498550968320.0,3466560983269376.0
90,1.229033931129312e+32,3.310728295481344e+16,1.5995162584940544e+16,3.676869962498048e+16
92,4.061785333229885e+32,5.94563103153193e+16,3.0543610533380096e+16,6.684282943071846e+16
94,2.573742488268873e+33,1.5328027032839782e+17,6.939981244058829e+16,1.682592264712356e+17
96,5.304699338221862e+34,7.034129074670797e+17,2.97871203341697e+17,7.638827484598764e+17
98,1.8883160391661948e+37,inf,6.33438599341985e+18,1.4412312654980841e+19
100,,,,
