Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT,REWARD_OFFSET,USE_BIAS,Stdout,Stderr
7,:,1622675135.694,15.473,0,215,0,0,"taskset -c $((7 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2034693659       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.7       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/7/",2034693659,.50000000000000000000,25,0.975,0.7,False,"Using result dir: results/chain_rollout/explicit/202106021905/7/
","W0602 19:05:36.682787 140061255010112 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
23,:,1622675135.761,15.414,0,216,0,0,"taskset -c $((23 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=991818103       --gin_param LEARNING_RATE=2       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.5       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/23/",991818103,2,25,0.95,0.5,False,"Using result dir: results/chain_rollout/explicit/202106021905/23/
","W0602 19:05:36.768384 139760307795776 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
4,:,1622675135.684,15.502,0,215,0,0,"taskset -c $((4 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1395720285       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.9       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/4/",1395720285,4,25,0.8,0.9,False,"Using result dir: results/chain_rollout/explicit/202106021905/4/
","W0602 19:05:36.704492 139669535221568 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
20,:,1622675135.745,15.447,0,216,0,0,"taskset -c $((20 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1501843923       --gin_param LEARNING_RATE=.25000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.2       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/20/",1501843923,.25000000000000000000,25,0.95,0.2,False,"Using result dir: results/chain_rollout/explicit/202106021905/20/
","W0602 19:05:36.792856 139655135315776 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
3,:,1622675135.681,15.522,0,215,0,0,"taskset -c $((3 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2289609983       --gin_param LEARNING_RATE=.25000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.8       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/3/",2289609983,.25000000000000000000,25,0.8,0.8,False,"Using result dir: results/chain_rollout/explicit/202106021905/3/
","W0602 19:05:36.674299 140693814347584 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
5,:,1622675135.688,15.523,0,215,0,0,"taskset -c $((5 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1111384852       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.1       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/5/",1111384852,.50000000000000000000,25,0.975,0.1,False,"Using result dir: results/chain_rollout/explicit/202106021905/5/
","W0602 19:05:36.666610 140155885008704 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
19,:,1622675135.740,15.569,0,216,0,0,"taskset -c $((19 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2182315642       --gin_param LEARNING_RATE=2       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.6       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/19/",2182315642,2,25,0.8,0.6,False,"Using result dir: results/chain_rollout/explicit/202106021905/19/
","W0602 19:05:36.773792 140127112369984 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
21,:,1622675135.750,15.576,0,216,0,0,"taskset -c $((21 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2182315642       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.6       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/21/",2182315642,.50000000000000000000,25,0.975,0.6,False,"Using result dir: results/chain_rollout/explicit/202106021905/21/
","W0602 19:05:36.768748 139670235162432 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
1,:,1622675135.673,15.671,0,215,0,0,"taskset -c $((1 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1953635580       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=1       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/1/",1953635580,4,25,0.975,1,False,"Using result dir: results/chain_rollout/explicit/202106021905/1/
","W0602 19:05:36.664873 140260224034624 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
2,:,1622675135.677,15.677,0,215,0,0,"taskset -c $((2 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1111384852       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.4       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/2/",1111384852,.50000000000000000000,25,0.975,0.4,False,"Using result dir: results/chain_rollout/explicit/202106021905/2/
","W0602 19:05:36.656098 140051410282304 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
10,:,1622675135.704,15.717,0,216,0,0,"taskset -c $((10 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=90715284       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.2       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/10/",90715284,.50000000000000000000,25,0.975,0.2,False,"Using result dir: results/chain_rollout/explicit/202106021905/10/
","W0602 19:05:36.719865 140158329538368 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
17,:,1622675135.728,15.706,0,216,0,0,"taskset -c $((17 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=384799037       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=1       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/17/",384799037,.50000000000000000000,25,0.9,1,False,"Using result dir: results/chain_rollout/explicit/202106021905/17/
","W0602 19:05:36.733566 139847848404800 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
9,:,1622675135.701,15.745,0,215,0,0,"taskset -c $((9 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2182315642       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.1       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/9/",2182315642,.50000000000000000000,25,0.9,0.1,False,"Using result dir: results/chain_rollout/explicit/202106021905/9/
","W0602 19:05:36.705139 140646449338176 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
12,:,1622675135.710,15.749,0,216,0,0,"taskset -c $((12 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=90715284       --gin_param LEARNING_RATE=.25000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.7       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/12/",90715284,.25000000000000000000,25,0.8,0.7,False,"Using result dir: results/chain_rollout/explicit/202106021905/12/
","W0602 19:05:36.715679 140482196227904 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
14,:,1622675135.716,15.753,0,216,0,0,"taskset -c $((14 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1111384852       --gin_param LEARNING_RATE=.50000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.7       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/14/",1111384852,.50000000000000000000,25,0.95,0.7,False,"Using result dir: results/chain_rollout/explicit/202106021905/14/
","W0602 19:05:36.718378 140714726467392 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
18,:,1622675135.734,15.745,0,216,0,0,"taskset -c $((18 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2390141961       --gin_param LEARNING_RATE=1       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.5       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/18/",2390141961,1,25,0.975,0.5,False,"Using result dir: results/chain_rollout/explicit/202106021905/18/
","W0602 19:05:36.755886 139858538657600 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
25,:,1622675135.771,15.717,0,216,0,0,"taskset -c $((25 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=2289609983       --gin_param LEARNING_RATE=.25000000000000000000       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.9       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/25/",2289609983,.25000000000000000000,25,0.9,0.9,False,"Using result dir: results/chain_rollout/explicit/202106021905/25/
","W0602 19:05:36.804839 139716082726720 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
26,:,1622675135.776,15.720,0,216,0,0,"taskset -c $((26 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/chain_rollout.gin       --gin_param SEED=1501843923       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.3       --gin_param USE_BIAS=False       --results_dir results/chain_rollout/explicit/202106021905/26/",1501843923,4,25,0.8,0.3,False,"Using result dir: results/chain_rollout/explicit/202106021905/26/
","W0602 19:05:36.808089 139709042124608 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
