timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,166.38990034137132,41.61932704185908,9.905580262552107,42.781875879338024
10,136.93052290637195,37.64216738302413,9.450025750149326,38.8102531809584
20,111.62156277387793,33.85682875397548,9.030633268859733,35.040507851808556
30,91.29128222690943,30.46772358761266,8.713318764101015,31.68917961222732
40,74.41358223360746,27.368249628401585,8.338364158944994,28.610302420101785
50,60.68400686928277,24.55474349444538,8.036706258418482,25.836487291466508
60,49.20104823210472,21.95445472202566,7.69502751208058,23.263953459228546
70,39.87191957707841,19.57965517418585,7.43156905423343,20.94256706681066
80,32.33338287966048,17.430358080179005,7.200682528274937,18.85914132924045
90,25.841571333509282,15.349581028298072,6.9747865146048715,16.859931336414217
100,20.851239566205248,13.545712017720199,6.773279941154677,15.144756030661496
110,16.807175161551335,11.883315568220656,6.608005590429629,13.59701904010819
120,13.550421979421941,10.39918855703479,6.396211310524227,12.208793624828022
130,11.31678784163037,9.211820113661663,6.295000909568837,11.157269659640484
140,9.347294176868056,8.052677460917977,6.162355203651622,10.140031358213278
150,7.702190786961959,6.979693515335289,6.000664720559553,9.204569444389104
160,6.521322379742073,6.125219457847985,5.849464314820908,8.469624913605253
170,5.559624724931706,5.283581941926626,5.7653823669549995,7.820221990087543
180,4.748681513590682,4.525169039860539,5.6354540021355115,7.227412860041794
190,4.161280182124804,3.9070776241569543,5.523479559316291,6.76565458794438
200,3.6989681195225557,3.368304169998285,5.416934219013582,6.378765500843256
210,3.3075949286021125,2.888374975117146,5.295359687286622,6.031877337498106
220,3.0018211194898283,2.4737766887281265,5.186565454006477,5.746305971177319
230,2.7127478184000826,2.034064826612495,5.069793514881921,5.462620799799388
240,2.580383826835453,1.8515827541858958,4.995584390198142,5.327684496588549
250,2.4035376889904927,1.6081983136201552,4.883913672759246,5.1418785068198005
260,2.2967996422378634,1.4631967589953578,4.808726578740153,5.026409858399581
270,2.1352083912262807,1.1843737898623499,4.6994202865221775,4.846368981360075
280,2.0560276553647387,1.0659503185354435,4.634657929926039,4.755660228507933
290,1.9812494037773007,0.9929213901010933,4.561562293187501,4.668376960095479
300,1.914968666421464,0.8794509822596662,4.5045778160043595,4.5896247483466555
