Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
4,:,1612282490.701,3.917,0,226,0,0,2034693659,2,1,0.8
8,:,1612282490.719,3.914,0,226,0,0,1395720285,0.0625,1,0.9
5,:,1612282490.705,4.077,0,226,0,0,240309497,0.125,5,0.8
2,:,1612282490.691,4.108,0,226,0,0,2182315642,0.5,5,0.8
13,:,1612282490.743,4.085,0,227,0,0,3390822559,0.5,1,0.95
14,:,1612282490.748,4.094,0,227,0,0,1953635580,2,1,0.95
12,:,1612282490.738,4.114,0,227,0,0,1111384852,2,5,0.9
10,:,1612282490.729,4.136,0,227,0,0,4173556719,2,1,0.8
17,:,1612282490.76,4.121,0,227,0,0,1501843923,0.5,1,0.9
9,:,1612282490.724,4.229,0,226,0,0,4017802264,2,5,0.9
19,:,1612282490.771,4.19,0,227,0,0,2034693659,0.25,5,0.8
28,:,1612282490.811,4.159,0,227,0,0,733348321,0.5,1,0.8
25,:,1612282490.797,4.187,0,227,0,0,1953635580,0.5,5,0.95
31,:,1612282490.826,4.168,0,227,0,0,4047805392,0.5,1,0.95
27,:,1612282490.806,4.227,0,227,0,0,1395720285,0.25,5,0.8
1,:,1612282490.686,4.359,0,226,0,0,3390822559,0.25,1,0.95
26,:,1612282490.802,4.254,0,227,0,0,4017802264,2,5,0.95
3,:,1612282490.697,4.389,0,226,0,0,2289609983,0.0625,25,0.95
7,:,1612282490.714,4.464,0,226,0,0,3543305936,0.25,25,0.9
15,:,1612282490.751,4.46,0,227,0,0,3602412539,1,25,0.9
16,:,1612282490.755,4.467,0,227,0,0,2390141961,0.5,25,0.8
6,:,1612282490.71,4.52,0,226,0,0,3602412539,0.25,25,0.9
21,:,1612282490.78,4.457,0,227,0,0,1501843923,0.25,25,0.8
20,:,1612282490.775,4.505,0,227,0,0,4047805392,0.125,25,0.95
24,:,1612282490.793,4.496,0,227,0,0,4173556719,1,25,0.9
29,:,1612282490.816,4.48,0,227,0,0,240309497,0.0625,25,0.95
18,:,1612282490.765,4.549,0,227,0,0,1111384852,2,25,0.95
22,:,1612282490.784,4.538,0,227,0,0,2289609983,2,25,0.95
23,:,1612282490.788,4.54,0,227,0,0,991818103,0.125,25,0.9
30,:,1612282490.821,4.521,0,227,0,0,240309497,0.25,25,0.9
32,:,1612282490.849,4.516,0,227,0,0,107577988,2,25,0.9
11,:,1612282490.733,4.638,0,227,0,0,1953635580,0.25,25,0.8
34,:,1612282494.674,4.01,0,227,0,0,1953635580,0.5,1,0.95
35,:,1612282494.798,3.96,0,227,0,0,1111384852,2,1,0.9
