Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
1,:,1612282300.884,5.18,0,226,0,0,2182315642,1,1,0.95
5,:,1612282300.904,5.167,0,226,0,0,2034693659,1,1,0.8
6,:,1612282300.909,5.259,0,226,0,0,1501843923,0.125,1,0.8
12,:,1612282300.938,5.239,0,227,0,0,2034693659,1,1,0.9
21,:,1612282300.975,5.226,0,227,0,0,1395720285,0.5,1,0.8
4,:,1612282300.899,5.328,0,226,0,0,1111384852,1,5,0.95
16,:,1612282300.951,5.308,0,227,0,0,107577988,0.5,1,0.8
20,:,1612282300.97,5.302,0,227,0,0,2034693659,0.5,1,0.9
28,:,1612282301.01,5.272,0,227,0,0,1953635580,2,1,0.95
2,:,1612282300.889,5.401,0,226,0,0,4047805392,0.25,5,0.95
17,:,1612282300.956,5.378,0,227,0,0,4017802264,0.0625,5,0.9
18,:,1612282300.961,5.383,0,227,0,0,384799037,0.0625,5,0.8
22,:,1612282300.98,5.371,0,227,0,0,733348321,0.25,1,0.95
10,:,1612282300.928,5.447,0,227,0,0,3543305936,0.0625,5,0.95
15,:,1612282300.947,5.438,0,227,0,0,2182315642,0.125,5,0.8
23,:,1612282300.985,5.41,0,227,0,0,2289609983,0.5,1,0.9
25,:,1612282300.995,5.411,0,227,0,0,1111384852,0.0625,5,0.95
27,:,1612282301.005,5.409,0,227,0,0,2289609983,0.0625,5,0.95
31,:,1612282301.045,5.403,0,227,0,0,1953635580,0.0625,1,0.95
24,:,1612282300.99,5.49,0,227,0,0,1501843923,0.25,5,0.95
11,:,1612282300.933,5.607,0,227,0,0,733348321,0.25,5,0.9
7,:,1612282300.914,5.685,0,226,0,0,1395720285,0.5,25,0.8
9,:,1612282300.923,5.686,0,226,0,0,1501843923,2,25,0.95
3,:,1612282300.894,5.736,0,226,0,0,2390141961,1,25,0.9
8,:,1612282300.918,5.724,0,226,0,0,384799037,0.125,25,0.95
14,:,1612282300.944,5.707,0,227,0,0,1111384852,1,25,0.95
32,:,1612282301.066,5.607,0,227,0,0,2182315642,0.5,5,0.9
19,:,1612282300.966,5.723,0,227,0,0,2390141961,0.5,25,0.9
13,:,1612282300.941,5.756,0,227,0,0,4173556719,0.5,25,0.8
29,:,1612282301.015,5.694,0,227,0,0,3390822559,0.125,25,0.8
30,:,1612282301.02,5.713,0,227,0,0,733348321,0.5,25,0.9
26,:,1612282300.999,5.747,0,227,0,0,733348321,0.125,25,0.9
33,:,1612282306.072,5.266,0,227,0,0,1501843923,2,1,0.95
34,:,1612282306.115,5.344,0,227,0,0,4017802264,0.25,5,0.95
37,:,1612282306.226,5.24,0,227,0,0,3543305936,0.5,1,0.8
38,:,1612282306.258,5.266,0,227,0,0,240309497,2,1,0.95
36,:,1612282306.201,5.335,0,227,0,0,4047805392,2,1,0.9
35,:,1612282306.176,5.377,0,227,0,0,90715284,0.25,5,0.8
39,:,1612282306.271,5.299,0,227,0,0,1953635580,0.0625,1,0.9
40,:,1612282306.282,5.299,0,227,0,0,2182315642,0.125,1,0.9
42,:,1612282306.307,5.301,0,227,0,0,3543305936,0.125,1,0.9
44,:,1612282306.351,5.37,0,227,0,0,4173556719,0.0625,5,0.9
45,:,1612282306.376,5.42,0,227,0,0,733348321,0.0625,5,0.9
48,:,1612282306.406,5.399,0,227,0,0,733348321,1,5,0.8
46,:,1612282306.386,5.44,0,227,0,0,3390822559,0.5,5,0.95
49,:,1612282306.415,5.42,0,227,0,0,384799037,1,5,0.9
50,:,1612282306.449,5.401,0,227,0,0,3602412539,2,5,0.95
51,:,1612282306.48,5.384,0,227,0,0,384799037,1,1,0.95
54,:,1612282306.61,5.262,0,227,0,0,4173556719,0.0625,1,0.95
56,:,1612282306.643,5.29,0,227,0,0,2034693659,0.125,1,0.8
55,:,1612282306.63,5.317,0,227,0,0,3390822559,1,1,0.95
57,:,1612282306.652,5.304,0,227,0,0,3543305936,1,1,0.95
43,:,1612282306.343,5.722,0,227,0,0,2289609983,0.25,25,0.95
53,:,1612282306.559,5.513,0,227,0,0,3602412539,0.25,1,0.8
41,:,1612282306.291,5.793,0,227,0,0,240309497,1,25,0.9
60,:,1612282306.698,5.417,0,227,0,0,2390141961,1,5,0.9
64,:,1612282306.782,5.368,0,227,0,0,1111384852,2,1,0.8
62,:,1612282306.734,5.434,0,227,0,0,2182315642,0.25,5,0.95
63,:,1612282306.746,5.437,0,227,0,0,1395720285,2,5,0.8
52,:,1612282306.517,5.697,0,227,0,0,240309497,2,25,0.8
47,:,1612282306.395,5.831,0,227,0,0,4017802264,0.0625,25,0.8
59,:,1612282306.689,5.557,0,227,0,0,4047805392,2,5,0.9
61,:,1612282306.709,5.544,0,227,0,0,1395720285,0.0625,5,0.8
58,:,1612282306.673,5.724,0,227,0,0,3602412539,1,25,0.9
70,:,1612282311.569,5.233,0,227,0,0,1501843923,0.0625,1,0.9
