Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT,REWARD_OFFSET,USE_BIAS,Stdout,Stderr
22,:,1622656912.861,20.300,0,221,0,0,"taskset -c $((22 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=107577988       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.5       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/22/",107577988,4,25,0.95,0.5,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/22/
","W0602 14:01:53.891778 139753693890368 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
4,:,1622656912.788,20.430,0,220,0,0,"taskset -c $((4 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=1395720285       --gin_param LEARNING_RATE=64       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.5       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/4/",1395720285,64,25,0.8,0.5,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/4/
","W0602 14:01:53.811180 139830124058432 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
6,:,1622656912.795,20.430,0,220,0,0,"taskset -c $((6 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=384799037       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.8       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/6/",384799037,4,25,0.975,0.8,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/6/
","W0602 14:01:53.781141 139953144940352 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
20,:,1622656912.850,20.388,0,221,0,0,"taskset -c $((20 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=2390141961       --gin_param LEARNING_RATE=128       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.1       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/20/",2390141961,128,25,0.9,0.1,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/20/
","W0602 14:01:53.897699 139899281884992 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
15,:,1622656912.823,20.432,0,221,0,0,"taskset -c $((15 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=2289609983       --gin_param LEARNING_RATE=16       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.1       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/15/",2289609983,16,25,0.95,0.1,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/15/
","W0602 14:01:53.843719 139748109895488 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
2,:,1622656912.781,20.642,0,220,0,0,"taskset -c $((2 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=1395720285       --gin_param LEARNING_RATE=32       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.7       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/2/",1395720285,32,25,0.95,0.7,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/2/
","W0602 14:01:53.801956 140135966033728 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
7,:,1622656912.798,20.632,0,220,0,0,"taskset -c $((7 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=991818103       --gin_param LEARNING_RATE=128       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=1       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/7/",991818103,128,25,0.95,1,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/7/
","W0602 14:01:53.813767 140159436957504 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
18,:,1622656912.839,20.614,0,221,0,0,"taskset -c $((18 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=4173556719       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=1       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/18/",4173556719,4,25,0.95,1,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/18/
","W0602 14:01:53.890929 140132051208000 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
3,:,1622656912.785,20.682,0,220,0,0,"taskset -c $((3 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=384799037       --gin_param LEARNING_RATE=8       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/3/",384799037,8,25,0.95,0.,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/3/
","W0602 14:01:53.793460 140101791315776 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
19,:,1622656912.845,20.629,0,221,0,0,"taskset -c $((19 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/four_rooms_rollout.gin       --gin_param SEED=1501843923       --gin_param LEARNING_RATE=64       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.3       --gin_param USE_BIAS=False       --results_dir results/four_rooms_rollout/explicit/202106021401/19/",1501843923,64,25,0.9,0.3,False,"Using result dir: results/four_rooms_rollout/explicit/202106021401/19/
","W0602 14:01:53.890136 140185422620480 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
