Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
15,:,1612264121.685,26.159,0,228,0,0,1395720285,0.25,1,0.8
2,:,1612264121.673,26.648,0,227,0,0,4047805392,2,1,0.95
13,:,1612264121.684,26.999,0,228,0,0,733348321,0.25,5,0.95
4,:,1612264121.675,27.105,0,227,0,0,1501843923,0.5,1,0.8
1,:,1612264121.672,27.13,0,227,0,0,2390141961,1,1,0.8
9,:,1612264121.68,27.349,0,227,0,0,2289609983,0.5,1,0.9
11,:,1612264121.682,27.888,0,228,0,0,1953635580,2,1,0.9
6,:,1612264121.677,28.062,0,227,0,0,2390141961,2,1,0.8
10,:,1612264121.681,29.013,0,228,0,0,3543305936,0.25,1,0.9
5,:,1612264121.676,29.502,0,227,0,0,240309497,2,5,0.9
12,:,1612264121.683,29.723,0,228,0,0,240309497,0.5,5,0.95
8,:,1612264121.679,30.986,0,227,0,0,240309497,0.25,5,0.95
3,:,1612264121.674,37.066,0,227,0,0,4173556719,0.125,25,0.95
7,:,1612264121.678,37.917,0,227,0,0,90715284,0.125,25,0.9
16,:,1612264121.685,38.404,0,228,0,0,1395720285,0.125,25,0.9
14,:,1612264121.684,38.7,0,228,0,0,1111384852,0.25,25,0.95
17,:,1612264147.846,26.947,0,228,0,0,1395720285,0.125,1,0.95
24,:,1612264149.741,27.595,0,228,0,0,1501843923,2,5,0.95
20,:,1612264148.781,29.403,0,228,0,0,1111384852,1,5,0.8
18,:,1612264148.323,30.034,0,228,0,0,384799037,1,5,0.8
26,:,1612264151.181,27.414,0,228,0,0,733348321,0.5,5,0.95
22,:,1612264149.032,30.941,0,228,0,0,4017802264,0.125,5,0.9
28,:,1612264152.668,29.404,0,228,0,0,240309497,0.125,5,0.95
19,:,1612264148.685,37.108,0,228,0,0,3390822559,2,25,0.8
23,:,1612264149.572,37.898,0,228,0,0,2182315642,0.125,25,0.9
29,:,1612264158.742,29.015,0,228,0,0,2182315642,1,5,0.95
27,:,1612264151.408,37.308,0,228,0,0,2034693659,1,25,0.9
25,:,1612264150.696,38.041,0,228,0,0,3602412539,0.125,25,0.95
21,:,1612264148.803,40.878,0,228,0,0,1953635580,1,25,0.95
32,:,1612264160.387,37.047,0,228,0,0,1395720285,0.5,25,0.8
30,:,1612264159.597,38.475,0,228,0,0,1111384852,0.125,25,0.8
31,:,1612264160.092,38.423,0,228,0,0,2182315642,1,25,0.9
33,:,1612264174.795,27.613,0,228,0,0,1395720285,0.125,5,0.95
35,:,1612264178.186,26.592,0,228,0,0,733348321,0.25,1,0.9
36,:,1612264178.359,26.442,0,228,0,0,1501843923,2,1,0.8
34,:,1612264177.339,27.52,0,228,0,0,4173556719,1,1,0.9
37,:,1612264178.597,27.37,0,228,0,0,3390822559,2,1,0.95
38,:,1612264179.976,28.023,0,228,0,0,4017802264,0.125,1,0.8
39,:,1612264182.075,29.017,0,228,0,0,1953635580,0.125,5,0.9
41,:,1612264187.473,27.71,0,228,0,0,107577988,0.125,1,0.95
43,:,1612264188.717,27.598,0,228,0,0,2034693659,1,5,0.95
44,:,1612264188.74,27.625,0,228,0,0,107577988,0.25,1,0.8
45,:,1612264189.683,28.61,0,228,0,0,2390141961,0.25,1,0.9
40,:,1612264185.796,38.197,0,228,0,0,2182315642,2,25,0.9
42,:,1612264187.76,37.765,0,228,0,0,1953635580,0.5,25,0.8
47,:,1612264198.074,27.839,0,228,0,0,3390822559,0.5,5,0.8
46,:,1612264197.437,28.642,0,228,0,0,384799037,0.125,1,0.9
48,:,1612264198.517,28.439,0,228,0,0,107577988,0.125,5,0.95
49,:,1612264202.411,28.481,0,228,0,0,90715284,1,5,0.9
50,:,1612264204.78,27.671,0,228,0,0,90715284,1,1,0.9
53,:,1612264205.969,27.677,0,228,0,0,2390141961,0.125,5,0.8
51,:,1612264204.802,29.001,0,228,0,0,3602412539,1,5,0.9
55,:,1612264211.095,27.711,0,228,0,0,733348321,0.125,5,0.8
52,:,1612264204.862,37.546,0,228,0,0,2289609983,1,25,0.95
57,:,1612264216.318,27.508,0,228,0,0,107577988,0.125,1,0.8
59,:,1612264218.296,27.549,0,228,0,0,3390822559,2,5,0.9
54,:,1612264208.002,38.911,0,228,0,0,3602412539,0.25,25,0.8
60,:,1612264223.996,27.621,0,228,0,0,4173556719,0.25,1,0.95
61,:,1612264225.527,26.95,0,228,0,0,991818103,1,5,0.8
56,:,1612264215.185,37.526,0,228,0,0,4017802264,0.5,25,0.95
58,:,1612264216.367,36.46,0,228,0,0,1501843923,2,25,0.8
63,:,1612264226.082,27.178,0,228,0,0,4017802264,1,1,0.95
64,:,1612264226.958,28.088,0,228,0,0,4173556719,0.25,5,0.8
68,:,1612264233.806,27.999,0,228,0,0,107577988,0.5,5,0.8
62,:,1612264225.915,36.429,0,228,0,0,4047805392,2,25,0.9
67,:,1612264233.648,28.855,0,228,0,0,2289609983,2,5,0.9
69,:,1612264238.809,28.558,0,228,0,0,2390141961,0.125,5,0.95
65,:,1612264230.894,38.131,0,228,0,0,3543305936,1,25,0.95
66,:,1612264232.453,39.351,0,228,0,0,384799037,2,25,0.95
72,:,1612264245.847,28.728,0,228,0,0,733348321,0.5,5,0.8
70,:,1612264242.41,36.703,0,228,0,0,1395720285,2,25,0.95
75,:,1612264252.48,28.612,0,228,0,0,240309497,0.5,1,0.9
71,:,1612264243.829,37.575,0,228,0,0,107577988,0.5,25,0.8
76,:,1612264252.713,29.279,0,228,0,0,1953635580,0.25,5,0.9
73,:,1612264246.916,37.821,0,228,0,0,4173556719,0.5,25,0.8
80,:,1612264261.807,27.325,0,228,0,0,2289609983,0.25,1,0.95
77,:,1612264252.83,36.391,0,228,0,0,4047805392,0.25,25,0.8
78,:,1612264253.263,36.326,0,228,0,0,991818103,2,25,0.8
74,:,1612264251.619,38.588,0,228,0,0,1111384852,1,25,0.8
82,:,1612264262.505,28.564,0,228,0,0,2182315642,1,1,0.8
79,:,1612264255.048,38.669,0,228,0,0,4017802264,0.25,25,0.9
84,:,1612264269.027,27.894,0,228,0,0,107577988,2,1,0.9
81,:,1612264262.345,37.868,0,228,0,0,4173556719,0.125,25,0.8
83,:,1612264267.369,38.903,0,228,0,0,3543305936,2,25,0.95
85,:,1612264271.807,36.715,0,228,0,0,991818103,0.25,25,0.9
88,:,1612264281.095,27.637,0,228,0,0,1395720285,1,5,0.8
89,:,1612264281.406,27.511,0,228,0,0,107577988,2,1,0.8
90,:,1612264281.995,28.275,0,228,0,0,4173556719,0.25,5,0.9
86,:,1612264274.576,37.477,0,228,0,0,90715284,2,25,0.9
91,:,1612264284.739,28.378,0,228,0,0,2289609983,0.25,5,0.9
87,:,1612264279.116,37.136,0,228,0,0,4173556719,1,25,0.95
93,:,1612264289.223,27.648,0,228,0,0,90715284,0.125,1,0.95
92,:,1612264289.135,28.973,0,228,0,0,107577988,0.25,5,0.8
96,:,1612264291.072,29.407,0,228,0,0,1953635580,2,5,0.9
97,:,1612264293.72,27.016,0,228,0,0,3390822559,0.125,1,0.95
98,:,1612264296.924,29.684,0,228,0,0,2182315642,0.5,5,0.9
94,:,1612264289.592,38.259,0,228,0,0,1111384852,0.5,25,0.8
95,:,1612264290.21,37.838,0,228,0,0,4173556719,0.25,25,0.95
100,:,1612264306.274,26.375,0,229,0,0,991818103,1,1,0.95
102,:,1612264308.734,27.908,0,229,0,0,1953635580,2,1,0.8
103,:,1612264308.918,28.025,0,229,0,0,4173556719,2,5,0.9
99,:,1612264300.216,38.542,0,228,0,0,3543305936,1,25,0.9
105,:,1612264312.055,27.666,0,229,0,0,90715284,0.125,1,0.9
106,:,1612264313.119,27.467,0,229,0,0,4017802264,0.5,1,0.95
108,:,1612264316.873,26.423,0,229,0,0,1395720285,0.25,1,0.95
107,:,1612264316.254,27.294,0,229,0,0,2390141961,2,1,0.9
109,:,1612264318.11,27.003,0,229,0,0,4047805392,1,1,0.95
104,:,1612264310.272,36.197,0,229,0,0,991818103,0.125,25,0.8
101,:,1612264308.524,38.14,0,229,0,0,240309497,2,25,0.8
110,:,1612264320.482,28.658,0,229,0,0,2289609983,1,5,0.9
112,:,1612264326.611,28.567,0,229,0,0,2289609983,0.25,5,0.95
111,:,1612264320.737,38.028,0,229,0,0,3602412539,2,25,0.8
