Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT,REWARD_OFFSET,USE_BIAS,Stdout,Stderr
17,:,1622671736.504,16.011,0,214,0,0,"taskset -c $((17 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=733348321       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.6       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/17/",733348321,4,25,0.8,0.6,False,"Using result dir: results/mountaincar/explicit/202106021808/17/
","W0602 18:08:57.514018 140019925333824 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
1,:,1622671736.443,16.190,0,213,0,0,"taskset -c $((1 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=2390141961       --gin_param LEARNING_RATE=4       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/1/",2390141961,4,25,0.8,0.,False,"Using result dir: results/mountaincar/explicit/202106021808/1/
","W0602 18:08:57.430368 140118245910336 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
7,:,1622671736.464,16.181,0,213,0,0,"taskset -c $((7 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=1501843923       --gin_param LEARNING_RATE=64       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.6       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/7/",1501843923,64,25,0.975,0.6,False,"Using result dir: results/mountaincar/explicit/202106021808/7/
","W0602 18:08:57.458064 139796794279744 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
5,:,1622671736.457,16.289,0,213,0,0,"taskset -c $((5 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=3390822559       --gin_param LEARNING_RATE=32       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.4       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/5/",3390822559,32,25,0.95,0.4,False,"Using result dir: results/mountaincar/explicit/202106021808/5/
","W0602 18:08:57.440746 140012977416000 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
10,:,1622671736.474,16.304,0,214,0,0,"taskset -c $((10 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=3390822559       --gin_param LEARNING_RATE=16       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.3       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/10/",3390822559,16,25,0.975,0.3,False,"Using result dir: results/mountaincar/explicit/202106021808/10/
","W0602 18:08:57.481435 140580161644352 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
13,:,1622671736.486,16.313,0,214,0,0,"taskset -c $((13 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=733348321       --gin_param LEARNING_RATE=8       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.2       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/13/",733348321,8,25,0.8,0.2,False,"Using result dir: results/mountaincar/explicit/202106021808/13/
","W0602 18:08:57.488226 139782950831936 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
9,:,1622671736.471,16.340,0,213,0,0,"taskset -c $((9 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=3602412539       --gin_param LEARNING_RATE=32       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.95       --gin_param REWARD_OFFSET=0.       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/9/",3602412539,32,25,0.95,0.,False,"Using result dir: results/mountaincar/explicit/202106021808/9/
","W0602 18:08:57.456171 140629365610304 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
18,:,1622671736.510,16.309,0,214,0,0,"taskset -c $((18 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=3543305936       --gin_param LEARNING_RATE=16       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.975       --gin_param REWARD_OFFSET=0.4       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/18/",3543305936,16,25,0.975,0.4,False,"Using result dir: results/mountaincar/explicit/202106021808/18/
","W0602 18:08:57.519578 139946979981120 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
25,:,1622671736.547,16.285,0,214,0,0,"taskset -c $((25 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=3602412539       --gin_param LEARNING_RATE=16       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.9       --gin_param REWARD_OFFSET=0.3       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/25/",3602412539,16,25,0.9,0.3,False,"Using result dir: results/mountaincar/explicit/202106021808/25/
","W0602 18:08:57.551518 139804580480832 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
3,:,1622671736.451,16.407,0,213,0,0,"taskset -c $((3 - 1 )) ./run_supervised.sh       --gin_file configs/supervised/explicit.gin       --gin_file configs/supervised/envs/mountaincar.gin       --gin_param SEED=107577988       --gin_param LEARNING_RATE=16       --gin_param BATCH_SIZE=25       --gin_param MDP_MODULE_DISCOUNT=0.8       --gin_param REWARD_OFFSET=0.8       --gin_param USE_BIAS=False       --results_dir results/mountaincar/explicit/202106021808/3/",107577988,16,25,0.8,0.8,False,"Using result dir: results/mountaincar/explicit/202106021808/3/
","W0602 18:08:57.436644 140416963938112 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
"
