Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
3,:,1612262191.991,28.656,0,227,0,0,733348321,1,1,0.95
5,:,1612262191.994,28.985,0,227,0,0,4173556719,2,1,0.95
6,:,1612262191.995,29.553,0,227,0,0,1501843923,0.25,1,0.9
7,:,1612262191.996,30.55,0,227,0,0,1111384852,0.125,1,0.9
9,:,1612262191.999,30.712,0,227,0,0,1395720285,0.25,5,0.8
8,:,1612262191.997,31.463,0,227,0,0,384799037,0.125,1,0.8
11,:,1612262192,31.687,0,228,0,0,384799037,0.5,1,0.9
1,:,1612262191.988,32.071,0,227,0,0,1111384852,2,5,0.95
4,:,1612262191.992,32.538,0,227,0,0,107577988,0.25,5,0.95
12,:,1612262192.001,33.491,0,228,0,0,384799037,0.5,5,0.8
10,:,1612262191.999,39.19,0,228,0,0,2390141961,0.5,25,0.8
16,:,1612262192.006,39.628,0,228,0,0,733348321,0.25,25,0.8
13,:,1612262192.002,40.828,0,228,0,0,3602412539,2,25,0.9
14,:,1612262192.003,41.056,0,228,0,0,90715284,0.5,25,0.8
2,:,1612262191.989,41.169,0,227,0,0,3543305936,0.25,25,0.95
15,:,1612262192.005,41.209,0,228,0,0,733348321,1,25,0.95
17,:,1612262220.649,29.657,0,228,0,0,4173556719,0.25,1,0.8
19,:,1612262221.55,31.569,0,228,0,0,1111384852,1,5,0.8
21,:,1612262222.713,31.294,0,228,0,0,3602412539,2,5,0.95
24,:,1612262224.061,30.194,0,228,0,0,1111384852,2,1,0.8
25,:,1612262224.533,30.315,0,228,0,0,2390141961,0.25,5,0.8
23,:,1612262223.69,31.76,0,228,0,0,240309497,1,5,0.9
27,:,1612262231.193,29.312,0,228,0,0,107577988,2,1,0.8
18,:,1612262220.981,40.072,0,228,0,0,1953635580,0.5,25,0.8
20,:,1612262222.549,40.552,0,228,0,0,4017802264,0.125,25,0.8
31,:,1612262233.161,30.369,0,228,0,0,733348321,2,5,0.9
32,:,1612262233.217,30.361,0,228,0,0,3390822559,2,5,0.9
30,:,1612262233.062,30.634,0,228,0,0,4173556719,0.25,1,0.95
22,:,1612262223.463,40.338,0,228,0,0,3543305936,0.125,25,0.8
26,:,1612262225.494,39.817,0,228,0,0,2289609983,0.125,25,0.8
28,:,1612262231.637,39.359,0,228,0,0,4173556719,1,25,0.8
29,:,1612262232.834,39.752,0,228,0,0,2034693659,1,25,0.95
33,:,1612262250.309,29.105,0,228,0,0,733348321,0.5,1,0.9
37,:,1612262254.85,29.617,0,228,0,0,3390822559,2,5,0.95
38,:,1612262255.453,30.013,0,228,0,0,3390822559,1,5,0.9
36,:,1612262254.258,32.22,0,228,0,0,384799037,2,1,0.8
35,:,1612262254.01,32.584,0,228,0,0,1953635580,2,5,0.9
39,:,1612262260.507,29.17,0,228,0,0,4047805392,1,1,0.9
43,:,1612262263.58,29.753,0,228,0,0,3390822559,0.25,1,0.9
45,:,1612262263.802,29.807,0,228,0,0,2034693659,0.125,5,0.8
44,:,1612262263.698,30.837,0,228,0,0,733348321,0.5,5,0.95
42,:,1612262263.533,31.051,0,228,0,0,1111384852,0.25,1,0.95
46,:,1612262265.313,29.526,0,228,0,0,2289609983,2,1,0.9
34,:,1612262253.122,41.762,0,228,0,0,1111384852,2,25,0.8
40,:,1612262261.056,40.117,0,228,0,0,2034693659,0.25,25,0.95
47,:,1612262270.999,30.483,0,228,0,0,3543305936,1,1,0.95
48,:,1612262272.589,29.894,0,228,0,0,90715284,2,1,0.95
41,:,1612262263.104,41.33,0,228,0,0,4173556719,1,25,0.95
49,:,1612262279.416,30.445,0,228,0,0,3602412539,0.25,1,0.9
50,:,1612262284.468,29.89,0,228,0,0,4047805392,2,5,0.9
51,:,1612262285.469,30.278,0,228,0,0,3602412539,2,1,0.8
53,:,1612262286.596,30.034,0,228,0,0,3390822559,0.25,5,0.8
54,:,1612262289.68,30.335,0,228,0,0,107577988,0.5,1,0.9
57,:,1612262294.537,30.401,0,228,0,0,1395720285,0.25,5,0.95
59,:,1612262294.841,30.174,0,228,0,0,2289609983,0.125,1,0.8
58,:,1612262294.586,31.931,0,228,0,0,4017802264,0.5,5,0.95
52,:,1612262286.48,42.829,0,228,0,0,1953635580,0.5,25,0.95
61,:,1612262301.176,29.342,0,228,0,0,2034693659,0.5,1,0.9
63,:,1612262302.486,29.455,0,228,0,0,2034693659,0.25,1,0.8
55,:,1612262293.335,38.921,0,228,0,0,991818103,2,25,0.8
56,:,1612262293.612,40.236,0,228,0,0,733348321,0.125,25,0.95
62,:,1612262301.484,33.601,0,228,0,0,240309497,0.25,5,0.9
64,:,1612262304.437,30.782,0,228,0,0,1953635580,1,1,0.95
60,:,1612262294.886,42.291,0,228,0,0,2182315642,0.125,25,0.95
65,:,1612262309.863,29.985,0,228,0,0,2182315642,1,1,0.95
67,:,1612262315.75,31.119,0,228,0,0,1953635580,1,5,0.8
68,:,1612262316.631,31.892,0,228,0,0,991818103,0.5,5,0.95
69,:,1612262320.018,30.768,0,228,0,0,2034693659,0.25,5,0.9
66,:,1612262314.36,39.894,0,228,0,0,991818103,0.5,25,0.95
72,:,1612262326.519,30.697,0,228,0,0,2289609983,1,1,0.9
70,:,1612262324.94,33.579,0,228,0,0,1953635580,0.5,5,0.95
74,:,1612262330.521,29.496,0,228,0,0,2034693659,0.125,1,0.9
75,:,1612262331.944,31.061,0,228,0,0,3543305936,0.25,1,0.9
79,:,1612262335.222,28.537,0,228,0,0,4173556719,2,1,0.8
71,:,1612262325.018,40.624,0,228,0,0,107577988,0.5,25,0.9
78,:,1612262335.088,31.021,0,228,0,0,3390822559,2,5,0.8
77,:,1612262333.85,33.154,0,228,0,0,240309497,0.125,5,0.9
73,:,1612262329.312,39.323,0,228,0,0,1501843923,2,25,0.9
81,:,1612262339.85,31.29,0,228,0,0,2289609983,0.5,5,0.9
76,:,1612262332.258,40.242,0,228,0,0,3602412539,2,25,0.95
80,:,1612262337.178,41.181,0,228,0,0,991818103,0.125,25,0.95
84,:,1612262350.788,30.848,0,228,0,0,3602412539,0.5,1,0.95
