timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,854.8623524449416,825.6245817553419,416.1807329109063,924.5876661760861
10,1438.3802877679614,1128.755067099729,405.32984872156476,1199.3249300202015
20,2830.6870605235736,1628.7128348626716,421.878610594534,1682.464579277547
30,571500.7757939585,22997.02017360072,6529.765610568223,23906.082401639094
40,3.2873622487667208e+22,4758493574778.283,3198493612071.3105,5733552344547.594
50,3.059369777050752e+43,1.6163119175465112e+23,6.685099567305438e+22,1.7491054219373835e+23
60,4.113822696887581e+66,6.233584848821355e+34,1.5101810823277604e+34,6.413908868145525e+34
70,1.2457333056169353e+91,1.1098280682861857e+47,1.1838481516261716e+46,1.1161242339528944e+47
80,1.3481924768373631e+116,3.5986899237954026e+59,7.289414247709181e+58,3.6717740628167237e+59
90,1.6366330824549903e+141,1.2676928732089767e+72,1.720112254190441e+71,1.279309611648013e+72
100,1.1079161541374642e+166,3.301729569059217e+84,4.215962454466209e+83,3.3285374477951488e+84
110,9.425497098451613e+190,9.579252524938556e+96,1.57888949834196e+96,9.708499934825984e+96
120,2.620193358481521e+217,1.5888338079726664e+110,3.095165409547522e+109,1.6187011331563097e+110
130,8.593258247452716e+244,9.083137679415158e+123,1.8518078656588164e+123,9.269982873475395e+123
140,2.912406750935262e+273,1.6909795233286667e+138,2.30206434789345e+137,1.706577496316901e+138
150,8.24740651355777e+301,2.8532908076814204e+152,3.2578839813360556e+151,2.871829819741722e+152
160,,,,
170,,,,
180,,,,
190,,,,
200,,,,
210,,,,
220,,,,
230,,,,
240,,,,
250,,,,
260,,,,
270,,,,
280,,,,
290,,,,
300,,,,
